  0.7386701E+00  0.6972333E+00  0.6589728E-06
  0.7386701E+00 -0.6972333E+00  0.6589728E-06
  0.8872008E+00  0.2234756E-01  0.1074079E-01
  0.8872008E+00 -0.2234756E-01  0.1074079E-01
  0.8770228E+00  0.7022043E-01  0.8338728E-02
  0.8770228E+00 -0.7022043E-01  0.8338728E-02
  0.6310420E+00  0.6040159E+00  0.7661968E-04
  0.6310420E+00 -0.6040159E+00  0.7661968E-04
  0.6662224E+00  0.5645156E+00  0.8471867E-04
  0.6662224E+00 -0.5645156E+00  0.8471867E-04
  0.8641709E+00  0.1236071E+00  0.5020863E-02
  0.8641709E+00 -0.1236071E+00  0.5020863E-02
  0.7018245E+00  0.5161179E+00  0.1134417E-03
  0.7018245E+00 -0.5161179E+00  0.1134417E-03
  0.7316549E+00  0.4607214E+00  0.1940767E-03
  0.7316549E+00 -0.4607214E+00  0.1940767E-03
  0.8451106E+00  0.1806925E+00  0.2505674E-02
  0.8451106E+00 -0.1806925E+00  0.2505674E-02
  0.5838778E+00  0.6356002E+00  0.1012157E-03
  0.5838778E+00 -0.6356002E+00  0.1012157E-03
  0.7560269E+00  0.4058892E+00  0.3633270E-03
  0.7560269E+00 -0.4058892E+00  0.3633270E-03
  0.8227635E+00  0.2398174E+00  0.1346675E-02
  0.8227635E+00 -0.2398174E+00  0.1346675E-02
  0.7779769E+00  0.3503546E+00  0.6401426E-03
  0.7779769E+00 -0.3503546E+00  0.6401426E-03
  0.7993276E+00  0.2962097E+00  0.9217734E-03
  0.7993276E+00 -0.2962097E+00  0.9217734E-03
  0.5299148E+00  0.6621822E+00  0.1713235E-03
  0.5299148E+00 -0.6621822E+00  0.1713235E-03
  0.4744186E+00  0.6849447E+00  0.3373169E-03
  0.4744186E+00 -0.6849447E+00  0.3373169E-03
  0.4168556E+00  0.7068053E+00  0.6276666E-03
  0.4168556E+00 -0.7068053E+00  0.6276666E-03
  0.3550180E+00  0.7270031E+00  0.5469806E-03
  0.3550180E+00 -0.7270031E+00  0.5469806E-03
  0.2909502E+00  0.7446118E+00  0.3300083E-03
  0.2909502E+00 -0.7446118E+00  0.3300083E-03
  0.2274688E+00  0.7592065E+00  0.2102770E-03
  0.2274688E+00 -0.7592065E+00  0.2102770E-03
  0.1649263E+00  0.7700369E+00  0.1538443E-03
  0.1649263E+00 -0.7700369E+00  0.1538443E-03
  0.1030996E+00  0.7769088E+00  0.1297447E-03
  0.1030996E+00 -0.7769088E+00  0.1297447E-03
  0.4267344E-01  0.7797741E+00  0.1235438E-03
  0.4267344E-01 -0.7797741E+00  0.1235438E-03
 -0.1485489E-01  0.7791074E+00  0.1276414E-03
 -0.1485489E-01 -0.7791074E+00  0.1276414E-03
 -0.6843787E-01  0.7746782E+00  0.1331752E-03
 -0.6843787E-01 -0.7746782E+00  0.1331752E-03
 -0.1177447E+00  0.7648681E+00  0.1292262E-03
 -0.1177447E+00 -0.7648681E+00  0.1292262E-03
 -0.1643698E+00  0.7481348E+00  0.1119620E-03
 -0.1643698E+00 -0.7481348E+00  0.1119620E-03
 -0.2109704E+00  0.7249675E+00  0.8791954E-04
 -0.2109704E+00 -0.7249675E+00  0.8791954E-04
 -0.2590403E+00  0.6972937E+00  0.6508897E-04
 -0.2590403E+00 -0.6972937E+00  0.6508897E-04
 -0.3085412E+00  0.6662603E+00  0.4758182E-04
 -0.3085412E+00 -0.6662603E+00  0.4758182E-04
 -0.3581272E+00  0.6313203E+00  0.3657612E-04
 -0.3581272E+00 -0.6313203E+00  0.3657612E-04
 -0.4060378E+00  0.5925227E+00  0.3083100E-04
 -0.4060378E+00 -0.5925227E+00  0.3083100E-04
 -0.7116326E+00  0.4739123E-01  0.8038799E-02
 -0.7116326E+00 -0.4739123E-01  0.8038799E-02
 -0.4519202E+00  0.5497230E+00  0.2935497E-04
 -0.4519202E+00 -0.5497230E+00  0.2935497E-04
 -0.7112607E+00  0.0000000E+00  0.1223461E-01
 -0.4943443E+00 -0.5021645E+00  0.3318398E-04
 -0.4943443E+00  0.5021645E+00  0.3318398E-04
 -0.6974117E+00 -0.8601361E-01  0.5917894E-02
 -0.6974117E+00  0.8601361E-01  0.5917894E-02
 -0.5315495E+00 -0.4511989E+00  0.4469474E-04
 -0.5315495E+00  0.4511989E+00  0.4469474E-04
 -0.6819315E+00 -0.1293327E+00  0.2691067E-02
 -0.6819315E+00  0.1293327E+00  0.2691067E-02
 -0.5636546E+00 -0.3987324E+00  0.6986464E-04
 -0.5636546E+00  0.3987324E+00  0.6986464E-04
 -0.6638832E+00 -0.1843549E+00  0.9428292E-03
 -0.6638832E+00  0.1843549E+00  0.9428292E-03
 -0.5914000E+00 -0.3460505E+00  0.1199682E-03
 -0.5914000E+00  0.3460505E+00  0.1199682E-03
 -0.6414957E+00 -0.2402037E+00  0.4102525E-03
 -0.6414957E+00  0.2402037E+00  0.4102525E-03
 -0.6169329E+00 -0.2938359E+00  0.2131640E-03
 -0.6169329E+00  0.2938359E+00  0.2131640E-03
  0.2896039E+00  0.6101039E+00  0.1224004E-01
  0.2896039E+00 -0.6101039E+00  0.1224004E-01
 -0.1640448E+00  0.5107400E+00  0.3094745E-01
 -0.1640448E+00 -0.5107400E+00  0.3094745E-01
 -0.3352523E-01  0.0000000E+00  0.4559661E+00
