  0.1567373E-01  0.7565285E+00
  0.1567373E-01 -0.7565285E+00
 -0.8698388E-01  0.0000000E+00
 -0.1448293E+00  0.7717827E+00
 -0.1448293E+00 -0.7717827E+00
 -0.1526918E+00  0.5809847E+00
 -0.1526918E+00 -0.5809847E+00
 -0.1573457E+00  0.4884474E+00
 -0.1573457E+00 -0.4884474E+00
 -0.1574276E+00  0.6879264E+00
 -0.1574276E+00 -0.6879264E+00
 -0.1651903E+00  0.8493831E+00
 -0.1651903E+00 -0.8493831E+00
 -0.1687954E+00  0.3960007E+00
 -0.1687954E+00 -0.3960007E+00
 -0.1838782E+00  0.6794668E+00
 -0.1838782E+00 -0.6794668E+00
 -0.1923863E+00  0.9272950E+00
 -0.1923863E+00 -0.9272950E+00
 -0.2234022E+00  0.1002056E+01
 -0.2234022E+00 -0.1002056E+01
