     290  0.2918608E+01  0.1437311E+01  0.9716002E+00  0.4657108E+00 -0.2492075E-01 -0.1712303E-01 -0.7797723E-02  0.6041051E-02  0.5021268E-02  0.1019782E-02
     300  0.3019250E+01  0.1437286E+01  0.9715786E+00  0.4657075E+00 -0.2102656E-01 -0.1374961E-01 -0.7276948E-02  0.5960797E-02  0.5053543E-02  0.9072541E-03
     310  0.3119891E+01  0.1437271E+01  0.9715664E+00  0.4657043E+00 -0.1698057E-01 -0.1027303E-01 -0.6707538E-02  0.5785539E-02  0.4985713E-02  0.7998254E-03
     320  0.3220533E+01  0.1437242E+01  0.9715405E+00  0.4657011E+00 -0.1288621E-01 -0.6784598E-02 -0.6101610E-02  0.5709635E-02  0.5011469E-02  0.6981654E-03
     330  0.3321175E+01  0.1437223E+01  0.9715259E+00  0.4656971E+00 -0.8682327E-02 -0.3227784E-02 -0.5454544E-02  0.5575454E-02  0.4972637E-02  0.6028171E-03
     340  0.3421816E+01  0.1437204E+01  0.9715105E+00  0.4656936E+00 -0.4425245E-02  0.3479513E-03 -0.4773196E-02  0.5457085E-02  0.4942553E-02  0.5145318E-03
     350  0.3522458E+01  0.1437187E+01  0.9714959E+00  0.4656909E+00 -0.1441690E-03  0.3918062E-02 -0.4062231E-02  0.5316112E-02  0.4882309E-02  0.4338030E-03
     360  0.3623100E+01  0.1437175E+01  0.9714867E+00  0.4656880E+00  0.4141710E-02  0.7468215E-02 -0.3326505E-02  0.5208124E-02  0.4847155E-02  0.3609694E-03
     370  0.3723741E+01  0.1437163E+01  0.9714778E+00  0.4656850E+00  0.8399505E-02  0.1097070E-01 -0.2571196E-02  0.5119249E-02  0.4822571E-02  0.2966781E-03
     380  0.3824383E+01  0.1437152E+01  0.9714689E+00  0.4656827E+00  0.1260778E-01  0.1440654E-01 -0.1798760E-02  0.5032375E-02  0.4791072E-02  0.2413027E-03
     390  0.3925024E+01  0.1437153E+01  0.9714728E+00  0.4656804E+00  0.1673826E-01  0.1775305E-01 -0.1014789E-02  0.4919934E-02  0.4724769E-02  0.1951648E-03
     400  0.4025666E+01  0.1437141E+01  0.9714623E+00  0.4656783E+00  0.2074135E-01  0.2096824E-01 -0.2268922E-03  0.4851779E-02  0.4693246E-02  0.1585327E-03
     410  0.4126308E+01  0.1437155E+01  0.9714774E+00  0.4656776E+00  0.2465460E-01  0.2408866E-01  0.5659346E-03  0.4781047E-02  0.4649481E-02  0.1315663E-03
     420  0.4226949E+01  0.1437164E+01  0.9714865E+00  0.4656776E+00  0.2840844E-01  0.2705327E-01  0.1355175E-02  0.4730407E-02  0.4615745E-02  0.1146621E-03
     430  0.4327591E+01  0.1437173E+01  0.9714957E+00  0.4656775E+00  0.3196512E-01  0.2983034E-01  0.2134781E-02  0.4655718E-02  0.4547895E-02  0.1078232E-03
     440  0.4428233E+01  0.1437194E+01  0.9715153E+00  0.4656785E+00  0.3536128E-01  0.3246002E-01  0.2901268E-02  0.4673154E-02  0.4561956E-02  0.1111981E-03
     450  0.4528874E+01  0.1437208E+01  0.9715288E+00  0.4656795E+00  0.3849360E-01  0.3484225E-01  0.3651348E-02  0.4601263E-02  0.4476726E-02  0.1245364E-03
     460  0.4629516E+01  0.1437222E+01  0.9715418E+00  0.4656806E+00  0.4136855E-01  0.3699555E-01  0.4373007E-02  0.4644092E-02  0.4495969E-02  0.1481235E-03
     470  0.4730158E+01  0.1437253E+01  0.9715695E+00  0.4656832E+00  0.4406961E-01  0.3899368E-01  0.5075931E-02  0.4598296E-02  0.4416732E-02  0.1815641E-03
     480  0.4830799E+01  0.1437271E+01  0.9715850E+00  0.4656856E+00  0.4647564E-01  0.4072898E-01  0.5746659E-02  0.4660604E-02  0.4435677E-02  0.2249270E-03
     490  0.4931441E+01  0.1437297E+01  0.9716093E+00  0.4656881E+00  0.4853651E-01  0.4216105E-01  0.6375464E-02  0.4664905E-02  0.4387376E-02  0.2775289E-03
     500  0.5032083E+01  0.1437322E+01  0.9716310E+00  0.4656913E+00  0.5035766E-01  0.4338414E-01  0.6973513E-02  0.4719681E-02  0.4380184E-02  0.3394965E-03
     510  0.5132724E+01  0.1437346E+01  0.9716512E+00  0.4656944E+00  0.5183142E-01  0.4430923E-01  0.7522192E-02  0.4808327E-02  0.4398000E-02  0.4103264E-03
