# POD-FFT Spectral Analysis
# nfft =     64, noverlap =     48, nblk =      3, nfreq =     33, dSt =   0.3125E-01
# Peak frequencies (excluding DC):
#   Mode  1: St =   0.1562, power =   0.7878E+01
#   Mode  2: St =   0.1562, power =   0.7909E+01
#   Mode  3: St =   0.3438, power =   0.1205E+00
#   Mode  4: St =   0.3438, power =   0.1208E+00
#   Mode  5: St =   0.5000, power =   0.6530E-01
#   Mode  6: St =   0.5000, power =   0.6532E-01
#   Mode  7: St =   0.6562, power =   0.3699E-02
#   Mode  8: St =   0.6562, power =   0.3688E-02
#   Mode  9: St =   0.8438, power =   0.5644E-03
#   Mode 10: St =   0.8438, power =   0.5446E-03
# St  P_mode  1  P_mode  2  P_mode  3  P_mode  4  P_mode  5  P_mode  6  P_mode  7  P_mode  8  P_mode  9  P_mode 10
  0.000000E+00  0.873929E-02  0.217608E-03  0.275932E-05  0.530676E-04  0.162198E-07  0.110760E-05  0.143903E-06  0.477067E-08  0.650783E-07  0.149457E-07
  0.312500E-01  0.686666E-02  0.573529E-03  0.783911E-05  0.461093E-04  0.326309E-07  0.247568E-05  0.125372E-06  0.411701E-07  0.531027E-07  0.274058E-07
  0.625000E-01  0.708578E-03  0.671941E-03  0.610274E-05  0.423429E-05  0.496260E-07  0.179068E-06  0.216753E-07  0.145512E-07  0.834660E-08  0.129233E-07
  0.937500E-01  0.364963E-03  0.356370E-03  0.897570E-05  0.708891E-05  0.609317E-07  0.351774E-06  0.342870E-07  0.338234E-07  0.439297E-08  0.111639E-07
  0.125000E+00  0.450874E+00  0.453213E+00  0.675703E-05  0.228144E-04  0.254822E-05  0.884919E-06  0.631446E-07  0.182433E-07  0.268016E-07  0.184101E-07
  0.156250E+00  0.787831E+01  0.790908E+01  0.124957E-03  0.143512E-03  0.321089E-04  0.100466E-04  0.329736E-07  0.105468E-05  0.748450E-07  0.206881E-07
  0.187500E+00  0.419494E+01  0.421764E+01  0.408744E-04  0.110766E-03  0.176862E-04  0.474373E-05  0.135029E-06  0.320132E-06  0.822270E-07  0.338974E-07
  0.218750E+00  0.280100E-01  0.281780E-01  0.160964E-04  0.104944E-04  0.157849E-06  0.372142E-06  0.380984E-07  0.511002E-07  0.551268E-08  0.897942E-08
  0.250000E+00  0.826450E-04  0.940881E-04  0.189128E-05  0.182520E-05  0.640722E-06  0.771677E-06  0.402987E-07  0.289122E-07  0.126640E-07  0.158834E-07
  0.281250E+00  0.221150E-03  0.211043E-03  0.995187E-03  0.101207E-02  0.209358E-05  0.630513E-06  0.376323E-07  0.103528E-06  0.405485E-08  0.155802E-07
  0.312500E+00  0.447138E-03  0.474440E-03  0.846759E-01  0.845882E-01  0.181311E-03  0.443816E-04  0.564493E-06  0.165689E-05  0.416809E-07  0.428145E-07
  0.343750E+00  0.322067E-03  0.351380E-03  0.120520E+00  0.120769E+00  0.258952E-03  0.624317E-04  0.444402E-06  0.275079E-05  0.118390E-07  0.627138E-08
  0.375000E+00  0.297113E-03  0.310010E-03  0.471599E-02  0.469869E-02  0.115502E-04  0.448991E-05  0.106715E-06  0.930351E-07  0.204598E-07  0.233309E-07
  0.406250E+00  0.228056E-03  0.210831E-03  0.294676E-05  0.232354E-05  0.888930E-06  0.395889E-06  0.560041E-07  0.458687E-07  0.963187E-08  0.191072E-07
  0.437500E+00  0.201567E-03  0.243244E-03  0.350311E-05  0.385721E-05  0.124522E-04  0.107238E-04  0.124257E-06  0.160272E-06  0.108007E-07  0.320558E-07
  0.468750E+00  0.193310E-03  0.188705E-03  0.473810E-04  0.260425E-04  0.165661E-01  0.167124E-01  0.119301E-05  0.979580E-06  0.168482E-06  0.654581E-07
  0.500000E+00  0.158842E-03  0.171366E-03  0.143641E-03  0.441018E-04  0.652993E-01  0.653155E-01  0.465450E-05  0.365914E-05  0.511949E-06  0.154817E-06
  0.531250E+00  0.152862E-03  0.140902E-03  0.246074E-04  0.129329E-04  0.902101E-02  0.910666E-02  0.619793E-06  0.494714E-06  0.847831E-07  0.478754E-07
  0.562500E+00  0.116435E-03  0.137152E-03  0.427812E-05  0.520087E-05  0.517809E-07  0.107411E-06  0.293820E-06  0.358458E-06  0.117487E-07  0.419653E-07
