  0.7386891E+00  0.6972319E+00  0.2407361E-19 1
  0.7386891E+00 -0.6972319E+00  0.2407361E-19 1
  0.9163447E+00  0.0000000E+00  0.7450878E-11 1
  0.6216892E+00 -0.6143721E+00  0.2445376E-09 1
  0.6216892E+00  0.6143721E+00  0.2445376E-09 1
  0.6686998E+00 -0.5549961E+00  0.8273800E-09 1
  0.6686998E+00  0.5549961E+00  0.8273800E-09 1
  0.7222057E+00  0.4823629E+00  0.2405228E-08 1
  0.7222057E+00 -0.4823629E+00  0.2405228E-08 1
  0.7593838E+00  0.4107392E+00  0.9836072E-08 1
  0.7593838E+00 -0.4107392E+00  0.9836072E-08 1
  0.5594642E+00 -0.6488689E+00  0.2515424E-08 1
  0.5594642E+00  0.6488689E+00  0.2515424E-08 1
  0.7839749E+00  0.3343367E+00  0.7152114E-07 1
  0.7839749E+00 -0.3343367E+00  0.7152114E-07 1
  0.7948809E+00  0.2559924E+00  0.1765895E-05 0
  0.7948809E+00 -0.2559924E+00  0.1765895E-05 0
  0.4936652E+00  0.6723889E+00  0.4857791E-07 1
  0.4936652E+00 -0.6723889E+00  0.4857791E-07 1
  0.6442881E+00  0.5257012E+00  0.4098824E-06 1
  0.6442881E+00 -0.5257012E+00  0.4098824E-06 1
  0.8254448E+00  0.7835808E-01  0.1428920E-04 0
  0.8254448E+00 -0.7835808E-01  0.1428920E-04 0
  0.6565401E+00  0.4868469E+00  0.2366281E-03 0
  0.6565401E+00 -0.4868469E+00  0.2366281E-03 0
  0.8045790E+00  0.1243750E+00  0.1331218E-04 0
  0.8045790E+00 -0.1243750E+00  0.1331218E-04 0
  0.7924088E+00  0.1858766E+00  0.1630264E-04 0
  0.7924088E+00 -0.1858766E+00  0.1630264E-04 0
  0.4387974E+00  0.6801539E+00  0.2416464E-03 0
  0.4387974E+00 -0.6801539E+00  0.2416464E-03 0
  0.4283022E+00  0.6862959E+00  0.2792530E-05 0
  0.4283022E+00 -0.6862959E+00  0.2792530E-05 0
  0.7361070E+00  0.3287918E+00  0.2254808E-03 0
  0.7361070E+00 -0.3287918E+00  0.2254808E-03 0
  0.5711308E+00  0.5687112E+00  0.2581488E-03 0
  0.5711308E+00 -0.5687112E+00  0.2581488E-03 0
  0.5065206E+00  0.6254654E+00  0.3312505E-03 0
  0.5065206E+00 -0.6254654E+00  0.3312505E-03 0
  0.7607874E+00  0.2524668E+00  0.2670324E-03 0
  0.7607874E+00 -0.2524668E+00  0.2670324E-03 0
  0.7637241E+00  0.2374984E+00  0.2497129E-03 0
  0.7637241E+00 -0.2374984E+00  0.2497129E-03 0
  0.6915597E+00  0.4013459E+00  0.2032288E-03 0
  0.6915597E+00 -0.4013459E+00  0.2032288E-03 0
  0.7338923E+00  0.2935726E+00  0.1626263E-03 0
  0.7338923E+00 -0.2935726E+00  0.1626263E-03 0
  0.7671069E+00  0.1870775E+00  0.1119159E-03 0
  0.7671069E+00 -0.1870775E+00  0.1119159E-03 0
  0.6798195E+00  0.4001827E+00  0.1793557E-03 0
  0.6798195E+00 -0.4001827E+00  0.1793557E-03 0
  0.7058656E+00  0.3477659E+00  0.1525216E-03 0
  0.7058656E+00 -0.3477659E+00  0.1525216E-03 0
  0.7729540E+00  0.1382696E+00  0.1283675E-03 0
  0.7729540E+00 -0.1382696E+00  0.1283675E-03 0
  0.6405925E+00  0.4437297E+00  0.1104725E-03 0
  0.6405925E+00 -0.4437297E+00  0.1104725E-03 0
  0.7726479E+00  0.9251215E-01  0.1581720E-03 0
  0.7726479E+00 -0.9251215E-01  0.1581720E-03 0
  0.3655699E+00  0.6860923E+00  0.8203712E-05 0
  0.3655699E+00 -0.6860923E+00  0.8203712E-05 0
  0.5988546E+00  0.4908538E+00  0.7609417E-04 0
  0.5988546E+00 -0.4908538E+00  0.7609417E-04 0
  0.2701994E+00  0.7217192E+00  0.5373836E-04 0
  0.2701994E+00 -0.7217192E+00  0.5373836E-04 0
  0.5542781E+00  0.5306529E+00  0.7892388E-04 0
  0.5542781E+00 -0.5306529E+00  0.7892388E-04 0
  0.3329512E+00  0.6907720E+00  0.2639305E-04 0
  0.3329512E+00 -0.6907720E+00  0.2639305E-04 0
  0.7646104E+00  0.4924060E-01  0.1691409E-03 0
  0.7646104E+00 -0.4924060E-01  0.1691409E-03 0
  0.1936666E+00 -0.7371252E+00  0.2563399E-04 0
  0.1936666E+00  0.7371252E+00  0.2563399E-04 0
  0.2777424E+00  0.7060958E+00  0.9991960E-04 0
  0.2777424E+00 -0.7060958E+00  0.9991960E-04 0
  0.5045391E+00  0.5647430E+00  0.7663603E-04 0
  0.5045391E+00 -0.5647430E+00  0.7663603E-04 0
  0.1680416E+00 -0.7372547E+00  0.8358748E-04 0
  0.1680416E+00  0.7372547E+00  0.8358748E-04 0
  0.3155147E+00  0.6864928E+00  0.5069687E-04 0
  0.3155147E+00 -0.6864928E+00  0.5069687E-04 0
  0.1190116E+00 -0.7457142E+00  0.1622616E-04 0
  0.1190116E+00  0.7457142E+00  0.1622616E-04 0
  0.2456135E+00  0.7139669E+00  0.8008074E-04 0
  0.2456135E+00 -0.7139669E+00  0.8008074E-04 0
  0.7548664E+00  0.0000000E+00  0.3380541E-03 0
  0.2079587E+00 -0.7183667E+00  0.5219139E-04 0
  0.2079587E+00  0.7183667E+00  0.5219139E-04 0
  0.4426208E-01  0.7460580E+00  0.1312952E-04 0
  0.4426208E-01 -0.7460580E+00  0.1312952E-04 0
  0.3710007E+00 -0.6482156E+00  0.4851655E-04 0
  0.3710007E+00  0.6482156E+00  0.4851655E-04 0
