  0.7386700E+00  0.6972334E+00  0.1950564E-19
  0.7386700E+00 -0.6972334E+00  0.1950564E-19
  0.9185764E+00  0.0000000E+00  0.7760714E-07
  0.8735252E+00  0.0000000E+00  0.4674645E-04
  0.6368146E+00  0.5793660E+00  0.6283086E-09
  0.6368146E+00 -0.5793660E+00  0.6283086E-09
  0.8598993E+00  0.5836290E-02  0.4139546E-03
  0.8598993E+00 -0.5836290E-02  0.4139546E-03
  0.6767054E+00  0.5134444E+00  0.7029292E-08
  0.6767054E+00 -0.5134444E+00  0.7029292E-08
  0.5849419E+00  0.6126337E+00  0.3746504E-08
  0.5849419E+00 -0.6126337E+00  0.3746504E-08
  0.8458570E+00  0.2722875E-01  0.2252641E-03
  0.8458570E+00 -0.2722875E-01  0.2252641E-03
  0.7146840E+00  0.4405640E+00  0.1038614E-06
  0.7146840E+00 -0.4405640E+00  0.1038614E-06
  0.8326021E+00  0.5127587E-01  0.1405532E-03
  0.8326021E+00 -0.5127587E-01  0.1405532E-03
  0.7426143E+00  0.3713899E+00  0.1251629E-05
  0.7426143E+00 -0.3713899E+00  0.1251629E-05
  0.5221673E+00  0.6389002E+00  0.7289234E-07
  0.5221673E+00 -0.6389002E+00  0.7289234E-07
  0.8199002E+00  0.8089314E-01  0.1076007E-03
  0.8199002E+00 -0.8089314E-01  0.1076007E-03
  0.7654681E+00  0.3035902E+00  0.1219633E-04
  0.7654681E+00 -0.3035902E+00  0.1219633E-04
  0.8136225E+00  0.1119917E+00  0.8762585E-04
  0.8136225E+00 -0.1119917E+00  0.8762585E-04
  0.8068009E+00  0.1367755E+00  0.8535544E-04
  0.8068009E+00 -0.1367755E+00  0.8535544E-04
  0.7825035E+00  0.2238999E+00  0.2622767E-04
  0.7825035E+00 -0.2238999E+00  0.2622767E-04
  0.7494607E+00  0.3161120E+00  0.4467462E-04
  0.7494607E+00 -0.3161120E+00  0.4467462E-04
  0.7965191E+00  0.1645411E+00  0.6190295E-04
  0.7965191E+00 -0.1645411E+00  0.6190295E-04
  0.7635548E+00  0.2781061E+00  0.4797009E-04
  0.7635548E+00 -0.2781061E+00  0.4797009E-04
  0.7731365E+00  0.2468199E+00  0.2844748E-04
  0.7731365E+00 -0.2468199E+00  0.2844748E-04
  0.7869783E+00  0.1940395E+00  0.4580452E-04
  0.7869783E+00 -0.1940395E+00  0.4580452E-04
  0.7300760E+00  0.3445612E+00  0.1035892E-03
  0.7300760E+00 -0.3445612E+00  0.1035892E-03
  0.4571854E+00  0.6564624E+00  0.2207204E-05
  0.4571854E+00 -0.6564624E+00  0.2207204E-05
  0.6152204E+00  0.5091789E+00  0.1759324E-04
  0.6152204E+00 -0.5091789E+00  0.1759324E-04
  0.7027460E+00  0.3776669E+00  0.1232238E-03
  0.7027460E+00 -0.3776669E+00  0.1232238E-03
  0.6789290E+00  0.4176894E+00  0.1597638E-03
  0.6789290E+00 -0.4176894E+00  0.1597638E-03
  0.6340099E+00  0.4817767E+00  0.3008632E-04
