28.57 89.47
28.56 88.21
28.88 86.73
29.37 85.10
29.66 80.15
29.86 83.61
29.85 82.34
29.50 81.19
30.15 78.43
30.47 77.00
30.46 75.73
30.61 74.18
31.10 72.86
31.09 71.59
30.97 70.08
31.93 68.34
32.72 66.78
33.04 64.89
34.03 63.10
34.68 61.43
35.34 60.25
36.66 58.68
37.98 56.94
38.64 55.16
39.96 53.58
41.62 52.04
43.54 50.34
44.94 49.05
47.26 47.48
49.26 46.06
51.25 44.74
53.58 43.37
56.24 41.99
58.90 40.67
61.57 39.43
64.56 38.11
68.23 36.68
72.23 35.38
76.56 34.06
81.23 32.79
86.57 31.58
92.91 30.30
99.91 29.10
107.26 27.98
114.60 26.91
121.95 25.89
129.29 24.90
136.64 24.19
143.99 23.57
151.34 22.98
158.68 22.38
166.03 21.82
173.38 21.27
180.73 20.71
188.08 20.15
195.43 19.64
202.78 19.24
210.13 18.86
217.48 18.47
224.83 18.09
232.18 17.71
239.53 17.33
246.88 16.99
254.23 16.74
261.58 16.49
268.93 16.25
276.28 16.00
283.64 15.75
290.99 15.50
298.34 15.25
305.69 14.99
313.04 14.74
320.39 14.55
327.74 14.40
335.10 14.25
342.45 14.10
349.80 13.96
357.15 13.82
364.51 13.66
371.86 13.52
379.21 13.38
386.56 13.24
393.91 13.08
401.27 12.93
408.62 12.80
415.97 12.65
423.32 12.50
430.67 12.35
438.03 12.23
445.38 12.16
452.73 12.05
460.09 11.97
467.44 11.89
474.79 11.81
482.14 11.70
489.50 11.62
496.85 11.54
504.20 11.46
511.55 11.36
518.91 11.27
526.26 11.20
533.61 11.11
540.96 11.01
548.32 10.93
555.67 10.86
563.02 10.76
570.38 10.66
577.73 10.58
585.08 10.51
592.43 10.41
599.79 10.32
607.14 10.24
614.49 10.16
621.84 10.07
629.20 9.97
636.55 9.90
643.90 9.81
651.26 9.72
656.60 9.66
